,title,averageRating,cluster_agg
2093,Cat's Eye (1985),2.4166666666666665,0
1583,Children of the Corn (1984),2.4545454545454546,0
1894,Christine (1983),2.95,0
1582,Cujo (1983),2.2142857142857144,0
1601,Legend (1985),3.0769230769230766,1
2603,Ladyhawke (1985),3.333333333333333,1
7210,Snow White (1916),3.5,1
9469,Beauty and the Beast (2017),3.5,1
2591,Heart and Souls (1993),3.0,2
1674,Toys (1992),2.375,2
8186,Rapture-Palooza (2013),3.0,2
7920,Ted (2012),3.2857142857142856,2
2445,Death Becomes Her (1992),2.8666666666666667,2
1975,William Shakespeare's A Midsummer Night's Dream (1999),3.136363636363636,2
6520,Evan Almighty (2007),2.5384615384615383,2
3744,"Oh, God! (1977)",2.5,2
2827,"Kid, The (2000)",2.590909090909091,2
1515,"Devil and Max Devlin, The (1981)",2.5,2
5250,All of Me (1984),2.5,2
4052,Modern Problems (1981),3.0,2
4697,Mr. Destiny (1990),3.0,2
160,Reckless (1995),3.0,2
3698,Rookie of the Year (1993),2.5,2
4717,Teen Wolf (1985),3.1428571428571432,2
6339,"Santa Clause 3: The Escape Clause, The (2006)",2.75,2
6284,"Icicle Thief, The (Ladri di saponette) (1989)",3.0,2
855,Drop Dead Fred (1991),2.833333333333333,2
4334,X2: X-Men United (2003),3.7236842105263164,3
1986,Superman (1978),3.60655737704918,3
3819,Spider-Man (2002),3.540983606557377,3
2836,X-Men (2000),3.699248120300752,3
4973,Oklahoma! (1955),4.5,4
4566,Seven Brides for Seven Brothers (1954),3.75,4
9123,A Man from Boulevard des Capucines (1987),4.0,4
8824,Reckless Kelly (1994),2.5,5
9253,Keanu (2016),2.5,5
2612,Max Dugan Returns (1983),2.5,5
4254,"Meteor Man, The (1993)",2.5,5
7939,2 Days in New York (2012),2.5,5
4320,Sibling Rivalry (1990),2.5,5
7084,Humpday (2009),2.5,5
5362,Surviving Christmas (2004),2.75,5
2147,Blue Streak (1999),2.6111111111111107,5
3825,"New Guy, The (2002)",2.5,5
8427,Walk of Shame (2014),2.5,5
8429,Chef (2014),2.75,5
4585,PCU (1994),2.5,5
2295,Meatballs III (1987),2.5,5
9158,A Very Murray Christmas (2015),2.5,5
6998,Big Stan (2007),2.75,5
8370,Someone Marry Barry (2014),2.5,5
9671,Judd Apatow: The Return (2017),2.5,5
6672,Meet the Spartans (2008),2.5,5
200,Exit to Eden (1994),2.588235294117647,5
1358,Krippendorf's Tribe (1998),2.571428571428572,5
7628,Elektra Luxx (2010),2.5,5
7629,Mr. Popper's Penguins (2011),2.7,5
3862,Caveman (1981),2.5,5
2281,"Taming of the Shrew, The (1967)",2.5,5
3292,Made (2001),2.6666666666666665,5
3137,Necessary Roughness (1991),2.625,5
7637,Zookeeper (2011),2.75,5
6581,"Game Plan, The (2007)",2.6666666666666665,5
6578,Mr. Woodcock (2007),2.6666666666666665,5
283,National Lampoon's Senior Trip (1995),2.5,5
8118,"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott) (2010)",2.5,5
8332,Grudge Match (2013),2.5,5
7980,That's My Boy (2012),2.5,5
3655,Orange County (2002),2.6333333333333333,5
6542,Sydney White (2007),2.5,5
9662,Craig Ferguson: Tickle Fight (2017),2.5,5
8262,"To Do List, The (2013)",2.5,5
6245,Strangers with Candy (2005),2.5,5
9556,"Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)",2.5,5
5561,Dutch (1991),2.5,5
9315,Popstar: Never Stop Never Stopping (2016),2.75,5
8922,Ted 2 (2015),2.7777777777777777,5
9319,Bo Burnham: Make Happy (2016),2.5,5
2899,Bring It On (2000),2.6911764705882355,5
1861,Soul Man (1986),2.5625,5
5599,"Late Shift, The (1996)",2.5,5
830,Weekend at Bernie's (1989),2.5476190476190474,5
3469,"Curse of the Jade Scorpion, The (2001)",2.5,5
5897,Kicking & Screaming (2005),2.642857142857143,5
2732,Stay Tuned (1992),2.5,5
2968,Little Nicky (2000),2.5,5
3688,Slackers (2002),2.6,5
5859,Tanguy (2001),2.5,5
5841,Greedy (1994),2.5,5
5822,"Oh, God! You Devil (1984)",2.5,5
5691,Comic Book: The Movie (2004),2.5,5
